               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.047693,             0.35252,           0.0018716,             0.79319,             0.68847,             0.73373,             0.29741,            0.043674,             0.21619,           0.0019898,           0.0016509,           0.0016509,           0.0016509
                 126,            0.046927,             0.33024,           0.0015105,             0.72624,             0.70134,             0.70203,             0.28742,            0.044428,             0.21178,           0.0020223,           0.0016029,           0.0016029,           0.0016029
                 127,            0.047408,             0.33841,           0.0013858,             0.75649,             0.69378,             0.72261,             0.30377,            0.043545,             0.21273,           0.0019033,           0.0015566,           0.0015566,           0.0015566
                 128,            0.047943,             0.35235,           0.0016089,             0.73483,             0.73428,             0.74964,              0.3152,            0.043656,             0.21292,           0.0018883,           0.0015121,           0.0015121,           0.0015121
                 129,            0.047968,             0.33183,           0.0015172,             0.71907,              0.7446,             0.73265,             0.31021,            0.043839,             0.21105,           0.0019663,           0.0014693,           0.0014693,           0.0014693
                 130,            0.047995,             0.33157,           0.0014081,             0.68694,             0.82048,             0.76152,             0.31775,            0.043612,             0.21014,           0.0018458,           0.0014283,           0.0014283,           0.0014283
                 131,             0.04648,             0.32957,           0.0014255,             0.73549,             0.77667,             0.74371,             0.29804,            0.044463,             0.21311,            0.001844,            0.001389,            0.001389,            0.001389
                 132,            0.046512,             0.33002,           0.0015483,             0.70039,             0.76167,             0.71622,             0.30342,            0.044347,             0.21234,           0.0018485,           0.0013516,           0.0013516,           0.0013516
                 133,            0.046421,             0.34644,           0.0014376,             0.81593,             0.68647,             0.75181,             0.32043,            0.043836,             0.21089,           0.0018637,            0.001316,            0.001316,            0.001316
                 134,            0.046776,             0.30436,             0.00165,             0.75117,             0.68296,               0.723,             0.29406,            0.045931,             0.21231,            0.001906,           0.0012822,           0.0012822,           0.0012822
                 135,            0.046524,             0.32263,           0.0015654,             0.79465,             0.67785,             0.71316,             0.29694,            0.045306,             0.21679,           0.0021383,           0.0012503,           0.0012503,           0.0012503
                 136,            0.047196,             0.32188,           0.0017275,             0.78433,             0.69656,              0.7113,             0.28498,            0.045777,             0.21887,              0.0021,           0.0012202,           0.0012202,           0.0012202
                 137,            0.046421,             0.32233,           0.0015219,             0.72871,             0.73989,             0.71725,             0.29921,            0.043641,             0.21634,           0.0022116,           0.0011921,           0.0011921,           0.0011921
                 138,            0.046565,             0.33716,           0.0012511,             0.77297,             0.69093,             0.70646,             0.31711,              0.0435,             0.21323,            0.002161,           0.0011658,           0.0011658,           0.0011658
                 139,            0.046295,             0.33222,           0.0014296,             0.79293,              0.6824,             0.71409,              0.3085,            0.044244,             0.21351,           0.0021125,           0.0011414,           0.0011414,           0.0011414
                 140,            0.045607,             0.32493,           0.0012837,             0.78726,             0.71239,             0.73682,             0.32101,            0.043807,              0.2123,            0.002046,           0.0011189,           0.0011189,           0.0011189
                 141,            0.045451,             0.33039,           0.0012137,             0.69268,             0.74857,             0.70832,             0.30048,            0.043703,             0.21784,           0.0022723,           0.0010983,           0.0010983,           0.0010983
                 142,            0.046047,             0.30361,           0.0015621,             0.70003,             0.67644,              0.6972,             0.29043,            0.045131,              0.2179,           0.0021218,           0.0010797,           0.0010797,           0.0010797
                 143,            0.045469,             0.33358,           0.0011123,             0.77889,             0.70064,             0.72857,             0.30016,            0.044977,             0.21806,           0.0021393,            0.001063,            0.001063,            0.001063
                 144,            0.045487,             0.31594,           0.0012688,             0.76542,             0.69794,             0.72871,             0.31039,            0.044736,             0.21745,           0.0021404,           0.0010483,           0.0010483,           0.0010483
                 145,            0.046232,               0.332,           0.0011803,             0.72807,             0.71663,             0.70671,             0.29979,            0.044289,             0.21938,           0.0021643,           0.0010355,           0.0010355,           0.0010355
                 146,            0.045151,             0.31459,           0.0013479,             0.64622,              0.7297,             0.70054,             0.29472,            0.045201,             0.21925,           0.0020587,           0.0010247,           0.0010247,           0.0010247
                 147,            0.045153,             0.31769,           0.0013359,             0.60442,             0.76857,             0.70454,             0.28829,            0.044717,             0.21603,           0.0019915,           0.0010158,           0.0010158,           0.0010158
                 148,            0.045926,             0.31306,           0.0015819,             0.63132,             0.82189,             0.73536,             0.29979,            0.044209,             0.21562,           0.0019916,           0.0010089,           0.0010089,           0.0010089
                 149,            0.046562,             0.31851,           0.0017217,             0.76768,             0.70046,             0.74095,             0.30871,            0.044258,             0.21389,           0.0021322,           0.0010039,           0.0010039,           0.0010039
